"","X","Genome","Order","Family","Genus","VC","VC.Status","Size","VC.Subcluster","VC.Subcluster.Size","Quality","Adj.P.value","Topology.Confidence.Score","Genera.in.VC","Families.in.VC","Orders.in.VC","Genus.Confidence.Score"
"1262",1261,"Propionibacterium~phage~PHL085N00","Unassigned","Unassigned","Unassigned","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1263",1262,"Propionibacterium~phage~PHL092M00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1264",1263,"Propionibacterium~phage~PHL095N00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1265",1264,"Propionibacterium~phage~PHL111M01","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1266",1265,"Propionibacterium~phage~PHL112N00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1267",1266,"Propionibacterium~phage~PHL113M01","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1268",1267,"Propionibacterium~phage~PHL114L00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1269",1268,"Propionibacterium~phage~PHL116M00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1270",1269,"Propionibacterium~phage~PHL132N00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1271",1270,"Propionibacterium~phage~PHL141N00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1272",1271,"Propionibacterium~phage~PHL150M00","Unassigned","Unassigned","Unassigned","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1273",1272,"Propionibacterium~phage~PHL152M00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1274",1273,"Propionibacterium~phage~PHL171M01","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1275",1274,"Propionibacterium~phage~PHL179M00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1276",1275,"Propionibacterium~phage~PHL199M00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1277",1276,"Propionibacterium~phage~PHL301M00","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1278",1277,"Propionibacterium~phage~Pacnes~2012-15","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1279",1278,"Propionibacterium~phage~Pirate","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1280",1279,"Propionibacterium~phage~Procrass1","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1281",1280,"Propionibacterium~phage~QueenBey","Unassigned","Unassigned","Unassigned","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1282",1281,"Propionibacterium~phage~SKKY","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1283",1282,"Propionibacterium~phage~Solid","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1284",1283,"Propionibacterium~phage~Stormborn","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1285",1284,"Propionibacterium~phage~Wizzo","Caudovirales","Siphoviridae","Pa6virus","309_0","Clustered",59,"VC_309_0",59,1,1,1,2,2,2,1
"1286",1285,"Proteus~phage~PM~75","Unassigned","Unassigned","Unassigned","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"1287",1286,"Proteus~phage~PM~85","Unassigned","Unassigned","Unassigned","57_0","Clustered",15,"VC_57_0",15,0.9864,1,0.9864,2,2,2,1
"1288",1287,"Proteus~phage~PM~93","Unassigned","Unassigned","Unassigned","57_0","Clustered",15,"VC_57_0",15,0.9864,1,0.9864,2,2,2,1
"1289",1288,"Proteus~phage~PM16","Unassigned","Unassigned","Unassigned","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"1290",1289,"Proteus~phage~pPM_01","Unassigned","Unassigned","Unassigned","14_0","Clustered",11,"VC_14_0",11,0.7566,1,0.7566,2,2,2,1
"1291",1290,"Proteus~phage~vB_PmiM_Pm5461","Unassigned","Unassigned","Unassigned","29_8","Clustered/Singleton",1,"VC_29_8",1,0,1,0,1,1,1,1
"1292",1291,"Proteus~phage~vB_PmiP_Pm5460","Unassigned","Unassigned","Unassigned","57_0","Clustered",15,"VC_57_0",15,0.9864,1,0.9864,2,2,2,1
"1293",1292,"Providencia~phage~Redjac","Unassigned","Unassigned","Unassigned","14_0","Clustered",11,"VC_14_0",11,0.7566,1,0.7566,2,2,2,1
"1294",1293,"Pseudoalteromonas~phage~H103","Unassigned","Unassigned","Unassigned","154_0","Clustered",3,"VC_154_0",3,0.1779,0.99044577,0.1762,1,1,1,1
"1295",1294,"Pseudoalteromonas~phage~PH1","Unassigned","Unassigned","Unassigned","235_0","Clustered",3,"VC_235_0",3,1,1,1,2,2,2,1
"1296",1295,"Pseudoalteromonas~phage~pYD6-A","Unassigned","Unassigned","Unassigned","11_0","Clustered",3,"VC_11_0",3,0.2557,0.99834469,0.2552,1,1,1,1
"1297",1296,"Pseudomonad~phage~gh-1","Caudovirales","Podoviridae","T7virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1298",1297,"Pseudomonas~phage~119X","Unassigned","Unassigned","Unassigned","311_0","Clustered",2,"VC_311_0",2,1,1,1,1,1,1,1
"1299",1298,"Pseudomonas~phage~14-1","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1300",1299,"Pseudomonas~phage~73","Caudovirales","Siphoviridae","Septima3virus","1_0","Clustered",8,"VC_1_0",8,0.5962,1,0.5962,3,2,2,1
"1301",1300,"Pseudomonas~phage~AF","Unassigned","Unassigned","Unassigned","132_0","Clustered",5,"VC_132_0",5,0.1334,0.88929266,0.1186,2,2,2,0.9
"1302",1301,"Pseudomonas~phage~Andromeda","Unassigned","Unassigned","Unassigned","55_0","Clustered",10,"VC_55_0",10,0.6009,1,0.6009,2,2,2,1
"1303",1302,"Pseudomonas~phage~B3","Unassigned","Unassigned","Unassigned","80_0","Clustered",7,"VC_80_0",7,0.4043,1,0.4043,1,1,1,1
"1304",1303,"Pseudomonas~phage~Bf7","Unassigned","Unassigned","Unassigned","55_0","Clustered",10,"VC_55_0",10,0.6009,1,0.6009,2,2,2,1
"1305",1304,"Pseudomonas~phage~C11","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1306",1305,"Pseudomonas~phage~DL54","Unassigned","Unassigned","Unassigned","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1307",1306,"Pseudomonas~phage~DL60","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1308",1307,"Pseudomonas~phage~DL62","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1309",1308,"Pseudomonas~phage~DL64","Unassigned","Unassigned","Unassigned","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1310",1309,"Pseudomonas~phage~DL68","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1311",1310,"Pseudomonas~phage~F10","Unassigned","Unassigned","Unassigned","161_0","Clustered",4,"VC_161_0",4,0.6849,0.99993962,0.6849,1,1,1,1
"1312",1311,"Pseudomonas~phage~F8","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1313",1312,"Pseudomonas~phage~H70","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1314",1313,"Pseudomonas~phage~JBD18","Unassigned","Unassigned","Unassigned","80_0","Clustered",7,"VC_80_0",7,0.4043,1,0.4043,1,1,1,1
"1315",1314,"Pseudomonas~phage~JBD24","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1316",1315,"Pseudomonas~phage~JBD25","Unassigned","Unassigned","Unassigned","80_0","Clustered",7,"VC_80_0",7,0.4043,1,0.4043,1,1,1,1
"1317",1316,"Pseudomonas~phage~JBD30","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1318",1317,"Pseudomonas~phage~JBD5","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1319",1318,"Pseudomonas~phage~JBD69","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1320",1319,"Pseudomonas~phage~JBD88a","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1321",1320,"Pseudomonas~phage~JBD93","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1322",1321,"Pseudomonas~phage~JD024","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1323",1322,"Pseudomonas~phage~JG004","Caudovirales","Myoviridae","Pakpunavirus","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1324",1323,"Pseudomonas~phage~JG024","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1325",1324,"Pseudomonas~phage~K5","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1326",1325,"Pseudomonas~phage~K8","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1327",1326,"Pseudomonas~phage~KPP12","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1328",1327,"Pseudomonas~phage~LBL3","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1329",1328,"Pseudomonas~phage~LIT1","Caudovirales","Podoviridae","Lit1virus","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1330",1329,"Pseudomonas~phage~LKD16","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1331",1330,"Pseudomonas~phage~LMA2","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1332",1331,"Pseudomonas~phage~LUZ19","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1333",1332,"Pseudomonas~phage~LUZ24","Caudovirales","Podoviridae","Luz24virus","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1334",1333,"Pseudomonas~phage~Lu11","Unassigned","Unassigned","Unassigned","312_0","Clustered",2,"VC_312_0",2,0.7159,0.72985431,0.5225,1,1,1,1
"1335",1334,"Pseudomonas~phage~M6","Caudovirales","Siphoviridae","Yuavirus","3_0","Clustered",4,"VC_3_0",4,0.4513,0.99997777,0.4513,1,1,1,1
"1336",1335,"Pseudomonas~phage~MD8","Unassigned","Unassigned","Unassigned","161_0","Clustered",4,"VC_161_0",4,0.6849,0.99993962,0.6849,1,1,1,1
"1337",1336,"Pseudomonas~phage~MP1412","Caudovirales","Siphoviridae","Yuavirus","3_0","Clustered",4,"VC_3_0",4,0.4513,0.99997777,0.4513,1,1,1,1
"1338",1337,"Pseudomonas~phage~MP42","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1339",1338,"Pseudomonas~phage~MP48","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1340",1339,"Pseudomonas~phage~MPK6","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1341",1340,"Pseudomonas~phage~MPK7","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1342",1341,"Pseudomonas~phage~NH-4","Unassigned","Unassigned","Unassigned","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1343",1342,"Pseudomonas~phage~O4","Unassigned","Unassigned","Unassigned","181_0","Clustered",4,"VC_181_0",4,0.6311,0.99995792,0.6311,1,1,1,1
"1344",1343,"Pseudomonas~phage~PA11","Unassigned","Unassigned","Unassigned","181_0","Clustered",4,"VC_181_0",4,0.6311,0.99995792,0.6311,1,1,1,1
"1345",1344,"Pseudomonas~phage~PAE1","Caudovirales","Siphoviridae","Yuavirus","3_0","Clustered",4,"VC_3_0",4,0.4513,0.99997777,0.4513,1,1,1,1
"1346",1345,"Pseudomonas~phage~PAJU2","Unassigned","Unassigned","Unassigned","144_1","Clustered/Singleton",1,"VC_144_1",1,0,1,0,1,1,1,1
"1347",1346,"Pseudomonas~phage~PAK_P1","Caudovirales","Myoviridae","Pakpunavirus","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1348",1347,"Pseudomonas~phage~PAK_P2","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1349",1348,"Pseudomonas~phage~PAK_P4","Caudovirales","Myoviridae","Pakpunavirus","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1350",1349,"Pseudomonas~phage~PB1","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1351",1350,"Pseudomonas~phage~PEV2","Unassigned","Unassigned","Unassigned","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1352",1351,"Pseudomonas~phage~PP7","Unassigned","Unassigned","Unassigned","180_0","Clustered",2,"VC_180_0",2,0.0769,0,0,1,1,1,1
"1353",1352,"Pseudomonas~phage~PPPL-1","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1354",1353,"Pseudomonas~phage~PPpW-3","Unassigned","Unassigned","Unassigned","78_0","Clustered",4,"VC_78_0",4,0.3327,0.99998471,0.3327,2,2,2,1
"1355",1354,"Pseudomonas~phage~PPpW-4","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1356",1355,"Pseudomonas~phage~PRR1","Unassigned","Unassigned","Unassigned","179_0","Clustered",4,"VC_179_0",4,0.6348,0.99999712,0.6348,1,1,1,1
"1357",1356,"Pseudomonas~phage~PT2","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1358",1357,"Pseudomonas~phage~Pa2","Unassigned","Unassigned","Unassigned","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1359",1358,"Pseudomonas~phage~PaBG","Unassigned","Unassigned","Unassigned","312_0","Clustered",2,"VC_312_0",2,0.7159,0.72985431,0.5225,1,1,1,1
"1360",1359,"Pseudomonas~phage~PaMx42","Unassigned","Unassigned","Unassigned","1_0","Clustered",8,"VC_1_0",8,0.5962,1,0.5962,3,2,2,1
"1361",1360,"Pseudomonas~phage~PaP1","Caudovirales","Myoviridae","Pakpunavirus","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1362",1361,"Pseudomonas~phage~PaP2","Unassigned","Unassigned","Unassigned","311_0","Clustered",2,"VC_311_0",2,1,1,1,1,1,1,1
"1363",1362,"Pseudomonas~phage~PaP3","Caudovirales","Podoviridae","Luz24virus","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1364",1363,"Pseudomonas~phage~PaoP5","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1365",1364,"Pseudomonas~phage~Pf-10","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1366",1365,"Pseudomonas~phage~Phi-S1","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1367",1366,"Pseudomonas~phage~PhiCHU","Caudovirales","Podoviridae","Luz24virus","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1368",1367,"Pseudomonas~phage~SN","Caudovirales","Myoviridae","Pbunavirus","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1369",1368,"Pseudomonas~phage~TL","Caudovirales","Podoviridae","Luz24virus","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1370",1369,"Pseudomonas~phage~UFV-P2","Unassigned","Unassigned","Unassigned","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1371",1370,"Pseudomonas~phage~YH30","Unassigned","Unassigned","Unassigned","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1372",1371,"Pseudomonas~phage~YH6","Unassigned","Unassigned","Unassigned","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1373",1372,"Pseudomonas~phage~YMC11/06/C171_PPU_BP","Unassigned","Unassigned","Unassigned","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"1374",1373,"Pseudomonas~phage~YuA","Caudovirales","Siphoviridae","Yuavirus","3_0","Clustered",4,"VC_3_0",4,0.4513,0.99997777,0.4513,1,1,1,1
"1375",1374,"Pseudomonas~phage~phi12","Unassigned","Cystoviridae","Cystovirus","313_0","Clustered",4,"VC_313_0",4,1,1,1,1,1,1,1
"1376",1375,"Pseudomonas~phage~phi13","Unassigned","Cystoviridae","Cystovirus","313_0","Clustered",4,"VC_313_0",4,1,1,1,1,1,1,1
"1377",1376,"Pseudomonas~phage~phi15","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1378",1377,"Pseudomonas~phage~phi2","Unassigned","Unassigned","Unassigned","161_0","Clustered",4,"VC_161_0",4,0.6849,0.99993962,0.6849,1,1,1,1
"1379",1378,"Pseudomonas~phage~phi2954","Unassigned","Cystoviridae","Cystovirus","313_0","Clustered",4,"VC_313_0",4,1,1,1,1,1,1,1
"1380",1379,"Pseudomonas~phage~phi3","Unassigned","Unassigned","Unassigned","60_0","Clustered",9,"VC_60_0",9,0.5219,1,0.5219,2,2,2,1
"1381",1380,"Pseudomonas~phage~phi6","Unassigned","Cystoviridae","Cystovirus","313_0","Clustered",4,"VC_313_0",4,1,1,1,1,1,1,1
"1382",1381,"Pseudomonas~phage~phiCTX","Caudovirales","Myoviridae","P2virus","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"1383",1382,"Pseudomonas~phage~phiIBB-PAA2","Caudovirales","Podoviridae","Luz24virus","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1384",1383,"Pseudomonas~phage~phiIBB-PF7A","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1385",1384,"Pseudomonas~phage~phiKMV","Caudovirales","Podoviridae","Phikmvvirus","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1386",1385,"Pseudomonas~phage~phiMK","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1387",1386,"Pseudomonas~phage~phiPSA2","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1388",1387,"Pseudomonas~phage~phikF77","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1389",1388,"Pseudomonas~phage~tf","Unassigned","Unassigned","Unassigned","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1390",1389,"Pseudomonas~phage~vB_Pae-Kakheti25","Caudovirales","Siphoviridae","Septima3virus","1_0","Clustered",8,"VC_1_0",8,0.5962,1,0.5962,3,2,2,1
"1391",1390,"Pseudomonas~phage~vB_Pae-TbilisiM32","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1392",1391,"Pseudomonas~phage~vB_PaeM_C2-10_Ab1","Caudovirales","Myoviridae","Pakpunavirus","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1393",1392,"Pseudomonas~phage~vB_PaeM_MAG1","Unassigned","Unassigned","Unassigned","41_0","Clustered",12,"VC_41_0",12,0.6623,1,0.6623,2,2,2,1
"1394",1393,"Pseudomonas~phage~vB_PaeM_PAO1_Ab27","Unassigned","Unassigned","Unassigned","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1395",1394,"Pseudomonas~phage~vB_PaeP_C2-10_Ab09","Caudovirales","Podoviridae","Lit1virus","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1396",1395,"Pseudomonas~phage~vB_PaeP_C2-10_Ab22","Caudovirales","Podoviridae","Luz24virus","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1397",1396,"Pseudomonas~phage~vB_PaeP_MAG4","Unassigned","Unassigned","Unassigned","12_0","Clustered",8,"VC_12_0",8,0.5532,1,0.5532,2,2,2,1
"1398",1397,"Pseudomonas~phage~vB_PaeP_PAO1_Ab05","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1399",1398,"Pseudomonas~phage~vB_PaeP_PPA-ABTNL","Unassigned","Unassigned","Unassigned","27_0","Clustered",11,"VC_27_0",11,0.6657,1,0.6657,2,2,2,1
"1400",1399,"Pseudomonas~phage~vB_PaeP_Tr60_Ab31","Unassigned","Unassigned","Unassigned","132_0","Clustered",5,"VC_132_0",5,0.1334,0.88929266,0.1186,2,2,2,0.9
"1401",1400,"Pseudomonas~phage~vB_PaeP_p2-10_Or1","Unassigned","Unassigned","Unassigned","196_0","Clustered",10,"VC_196_0",10,0.9534,1,0.9534,2,2,2,1
"1402",1401,"Pseudomonas~phage~vB_PaeS_PAO1_Ab30","Unassigned","Unassigned","Unassigned","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1403",1402,"Pseudomonas~phage~vB_PaeS_PM105","Unassigned","Unassigned","Unassigned","80_0","Clustered",7,"VC_80_0",7,0.4043,1,0.4043,1,1,1,1
"1404",1403,"Pseudomonas~phage~vB_PaeS_SCH_Ab26","Caudovirales","Siphoviridae","Septima3virus","1_0","Clustered",8,"VC_1_0",8,0.5962,1,0.5962,3,2,2,1
"1405",1404,"Pseudomonas~phage~vB_Pae_PS44","Unassigned","Unassigned","Unassigned","163_0","Clustered",13,"VC_163_0",13,0.8791,1,0.8791,2,2,2,1
"1406",1405,"Pseudomonas~phage~vB_PsyM_KIL1","Unassigned","Unassigned","Unassigned","43_0","Clustered/Singleton",1,"VC_43_0",1,0,1,0,1,1,1,1
"1407",1406,"Pseudomonas~virus~D3","Caudovirales","Siphoviridae","D3virus","144_0","Clustered",4,"VC_144_0",4,0.3406,0.99998076,0.3406,2,2,2,1
"1408",1407,"Pseudomonas~virus~D3112","Caudovirales","Siphoviridae","D3112virus","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1409",1408,"Pseudomonas~virus~DMS3","Caudovirales","Siphoviridae","D3112virus","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1410",1409,"Pseudomonas~virus~LPB1","Caudovirales","Siphoviridae","D3112virus","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1411",1410,"Pseudomonas~virus~MP29","Caudovirales","Siphoviridae","D3112virus","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1412",1411,"Pseudomonas~virus~MP38","Caudovirales","Siphoviridae","D3112virus","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1413",1412,"Pseudomonas~virus~PA1KOR","Caudovirales","Siphoviridae","D3112virus","166_0","Clustered",18,"VC_166_0",18,0.8168,1,0.8168,2,2,2,1
"1414",1413,"Pseudomonas~virus~PMG1","Caudovirales","Siphoviridae","D3virus","144_0","Clustered",4,"VC_144_0",4,0.3406,0.99998076,0.3406,2,2,2,1
"1415",1414,"Puniceispirillum~phage~HMO-2011","Unassigned","Unassigned","Unassigned","183_0","Clustered",2,"VC_183_0",2,0.7171,0.5,0.3585,1,1,1,1
"1416",1415,"Pyrobaculum~spherical~virus","Unassigned","Globuloviridae","Globulovirus","314_0","Clustered",2,"VC_314_0",2,1,1,1,1,1,1,1
"1417",1416,"Ralstonia~phage~PE226","Unassigned","Inoviridae","Unassigned","316_0","Clustered",2,"VC_316_0",2,0.8487,0.5,0.4244,1,2,1,1
"1418",1417,"Ralstonia~phage~RS603","Unassigned","Inoviridae","Habenivirus","315_0","Clustered",3,"VC_315_0",3,0.9349,0.9595722,0.8971,1,1,1,1
"1419",1418,"Ralstonia~phage~RSA1","Caudovirales","Myoviridae","P2virus","59_0","Clustered",38,"VC_59_0",38,0.8056,1,0.8056,2,2,2,0.9957
"1420",1419,"Ralstonia~phage~RSB1","Unassigned","Unassigned","Unassigned","55_0","Clustered",10,"VC_55_0",10,0.6009,1,0.6009,2,2,2,1
"1421",1420,"Ralstonia~phage~RSB2","Unassigned","Unassigned","Unassigned","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"1422",1421,"Ralstonia~phage~RSJ2","Unassigned","Unassigned","Unassigned","55_0","Clustered",10,"VC_55_0",10,0.6009,1,0.6009,2,2,2,1
"1423",1422,"Ralstonia~phage~RSJ5","Unassigned","Unassigned","Unassigned","55_0","Clustered",10,"VC_55_0",10,0.6009,1,0.6009,2,2,2,1
